"","isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
"1",0,1,"AGO","Angola","XX","N",1981,2000.21,"X",73.83312,3.767956,170.9316,0.5277469,0.2520589,0.157933,0.4454742,0.5195689,108.1199,0.5125765,-1,9.244507,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"2",0,1,"AGO","Angola","XX","N",1984,2000.21,"X",73.83312,3.767956,169.8243,0.5299392,0.2538519,0.1591601,0.4489112,0.5195689,107.4195,0.5125765,-1,10.277321,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"3",0,1,"AGO","Angola","XX","N",1987,2000.21,"X",73.83312,3.767956,172.46,0.5229275,0.2496153,0.1562641,0.4407978,0.5195689,109.0867,0.5125765,-1,11.218268,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"4",0,1,"AGO","Angola","XX","N",1990,2000.21,"X",73.83312,3.767956,162.944,0.5500785,0.2654939,0.1671434,0.4712914,0.5195689,103.0675,0.5125765,-1,12.171441,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"5",0,1,"AGO","Angola","XX","N",1993,2000.21,"X",73.83312,3.767956,106.9601,0.7287194,0.3973707,0.2649791,0.7420197,0.5195689,67.65576,0.5125765,-1,13.403734,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"6",0,1,"AGO","Angola","XX","N",1996,2000.21,"X",73.83312,3.767956,129.2098,0.6559955,0.3359712,0.2174753,0.6113631,0.5195689,81.72945,0.5125765,-1,14.682284,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"7",0,1,"AGO","Angola","XX","N",1999,2000.21,"X",73.83312,3.767956,136.4937,0.6324472,0.3185974,0.2047306,0.5760422,0.5195689,86.33674,0.5125765,-1,15.949766,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"8",1,1,"AGO","Angola","XX","N",2002,NA,"X",73.83312,3.767956,136.1805,0.630907,0.3188662,0.2028598,0.5625038,-1,-1,-1,-1,17.572649,"AGO_N2000X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"9",1,1,"AGO","Angola","XX","N",2005,NA,"X",73.83312,3.767956,131.0922,0.6418607,0.3167477,0.1944009,0.5318817,-1,-1,-1,-1,19.552542,"AGO_N2000X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10",1,1,"AGO","Angola","XX","N",2008,NA,"X",73.83312,3.767956,128.7009,0.6252188,0.2798473,0.1591012,0.4383328,-1,-1,-1,-1,21.75942,"AGO_N2000X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"11",0,1,"AGO","Angola","XX","N",2010,2008.5,"X",73.83312,3.767956,120.5281,0.6444213,0.2915593,0.1660009,0.4561665,0.4271552,86.86079,0.3116315,-1,23.369131,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"12",0,1,"AGO","Angola","XX","N",2011,2008.5,"X",73.83312,3.767956,120.3387,0.6459446,0.2921149,0.1663961,0.4571811,0.4271552,86.72429,0.3116315,-1,24.218565,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"13",0,1,"AGO","Angola","XX","N",2012,2008.5,"X",73.83312,3.767956,126.0506,0.6195532,0.2758368,0.1549601,0.4277356,0.4271552,90.84069,0.3116315,-1,25.09615,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"14",0,1,"AGO","Angola","XX","N",2013,2008.5,"X",73.83312,3.767956,127.705,0.6141534,0.2713644,0.1518252,0.4196956,0.4271552,92.03295,0.3116315,-1,25.99834,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"15",0,1,"AGO","Angola","XX","N",2015,2008.5,"X",73.83312,3.767956,126.1005,0.6195532,0.2757006,0.1548644,0.4274902,0.4271552,90.87667,0.3116315,-1,27.859305,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"16",0,1,"ALB","Albania","XX","N",1981,1996,"X",58.16801,2.025535,212.1173,0.00920669,0.001435325,0.0004200844,0.001738795,0.2701034,186.4206,0.1191043,-1,2.726056,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"17",0,1,"ALB","Albania","XX","N",1984,1996,"X",58.16801,2.025535,204.6317,0.01013405,0.001720139,0.0005004051,0.002080261,0.2701034,179.8418,0.1191043,-1,2.904429,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"18",0,1,"ALB","Albania","XX","N",1987,1996,"X",58.16801,2.025535,205.5995,0.009605859,0.001682279,0.0004890211,0.002034375,0.2701034,180.6924,0.1191043,-1,3.083605,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"19",0,1,"ALB","Albania","XX","N",1990,1996,"X",58.16801,2.025535,188.8699,0.01841943,0.002657071,0.0007447261,0.003188513,0.2701034,165.9894,0.1191043,-1,3.286542,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"20",0,1,"ALB","Albania","XX","N",1993,1996,"X",58.16801,2.025535,137.741,0.0782996,0.01414325,0.004020524,0.01693137,0.2701034,121.0545,0.1191043,-1,3.227287,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"21",0,1,"ALB","Albania","XX","N",1996,1996,"X",58.16801,2.025535,187.8427,0.01897988,0.002744488,0.0007659414,0.003290657,0.2701034,165.0867,0.1191043,-1,3.168033,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"22",1,1,"ALB","Albania","XX","N",1999,NA,"X",58.16801,2.025535,189.4287,0.02429539,0.003914604,0.001132149,0.004755161,-1,-1,-1,-1,3.108778,"ALB_N1996X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"23",0,1,"ALB","Albania","XX","N",2002,2002,"X",58.16801,2.025535,191.988,0.02941709,0.004884791,0.001435018,0.005974476,0.3173898,158.363,0.1648116,-1,3.05101,"ALB_N2002X",0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544
"24",0,1,"ALB","Albania","XX","N",2005,2005,"X",58.16801,2.025535,217.0335,0.01701671,0.002551712,0.0006805338,0.003002607,0.3059566,184.6848,0.1544128,-1,3.011487,"ALB_N2005X",0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434
"25",0,1,"ALB","Albania","XX","N",2008,2008,"X",58.16801,2.025535,237.5353,0.005056251,0.0009061352,0.0002584033,0.001075431,0.2998467,198.7757,0.1488934,-1,2.947314,"ALB_N2008X",0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446
"26",1,1,"ALB","Albania","XX","N",2010,NA,"X",58.16801,2.025535,233.2904,0.01076172,0.002248636,0.0007406538,0.002792913,-1,-1,-1,-1,2.913021,"ALB_N2008X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"27",1,1,"ALB","Albania","XX","N",2011,NA,"X",58.16801,2.025535,231.2863,0.01272437,0.002523295,0.0008447522,0.003149184,-1,-1,-1,-1,2.905195,"ALB_N2008X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"28",0,1,"ALB","Albania","XX","N",2012,2012,"X",58.16801,2.025535,225.2692,0.01272502,0.002764426,0.0009450601,0.003467156,0.2896048,195.0467,0.1384171,-1,2.900401,"ALB_N2012X",0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
"29",0,1,"ALB","Albania","XX","N",2013,2012,"X",58.16801,2.025535,234.2123,0.01138562,0.002396814,0.0008126301,0.002999174,0.2896048,202.79,0.1384171,-1,2.895092,"ALB_N2012X",0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
"30",0,1,"ALB","Albania","XX","N",2015,2012,"X",58.16801,2.025535,253.6938,0.008497544,0.001742099,0.0005958224,0.002180258,0.2896048,219.6579,0.1384171,-1,2.880703,"ALB_N2012X",0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
"31",0,0,"ARM","Armenia","XX","N",1981,1996,"Y",183.7796,3.424629,256.9512,0.23158,0.0674607,0.02789803,0.08891197,0.4441862,177.1371,0.3354787,0.3826619,3.148092,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"32",0,0,"ARM","Armenia","XX","N",1984,1996,"Y",183.7796,3.424629,273.9207,0.2050405,0.05749732,0.02317721,0.07505009,0.4441862,188.8355,0.3354787,0.3826619,3.285595,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"33",0,0,"ARM","Armenia","XX","N",1987,1996,"Y",183.7796,3.424629,263.4109,0.2210978,0.06346647,0.02598536,0.08332679,0.4441862,181.5902,0.3354787,0.3826619,3.451942,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"34",0,0,"ARM","Armenia","XX","N",1990,1996,"Y",183.7796,3.424629,260.1811,0.2262785,0.06543106,0.02692284,0.08606929,0.4441862,179.3636,0.3354787,0.3826619,3.538165,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"35",0,0,"ARM","Armenia","XX","N",1993,1996,"Y",183.7796,3.424629,128.29,0.5879197,0.2457999,0.1305591,0.3736589,0.4441862,88.44056,0.3354787,0.3826619,3.363098,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"36",0,0,"ARM","Armenia","XX","N",1996,1996,"Y",183.7796,3.424629,162.4389,0.4570535,0.1709148,0.08460586,0.2446715,0.4441862,111.9821,0.3354787,0.3826619,3.168215,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
"37",0,1,"ARM","Armenia","XX","N",1999,1999,"X",183.7796,3.424629,122.4167,0.5687284,0.1941161,0.08767821,0.2670311,0.3621972,94.23082,0.21843,-1,3.089017,"ARM_N1999X",0.03043,0.04518,0.05403,0.06192,0.07164,0.08272,0.09658,0.1158,0.1455,0.2963
"38",0,1,"ARM","Armenia","XX","N",2002,2002,"X",183.7796,3.424629,122.0151,0.574306,0.1825542,0.07840891,0.2459868,0.3477967,94.93779,0.2000021,-1,3.033897,"ARM_N2002X",0.03336,0.0471,0.05603,0.0643,0.07312,0.08285,0.09526,0.1129,0.1451,0.29
"39",0,1,"ARM","Armenia","XX","N",2005,2005,"X",183.7796,3.424629,171.3197,0.3236236,0.07686892,0.02795334,0.09839637,0.3599235,130.5109,0.217763,-1,2.981259,"ARM_N2005X",0.03334,0.04719,0.05535,0.06281,0.07127,0.08103,0.09263,0.1096,0.139,0.3078
"40",0,1,"ARM","Armenia","XX","N",2008,2008,"X",183.7796,3.424629,188.2736,0.1797634,0.03542661,0.01142918,0.04385231,0.2918814,159.8224,0.1397946,-1,2.90822,"ARM_N2008X",0.03854,0.05267,0.0608,0.06992,0.0795,0.09063,0.1041,0.1203,0.1466,0.2369
"41",0,1,"ARM","Armenia","XX","N",2010,2010,"X",183.7796,3.424629,170.8403,0.2526208,0.05267022,0.01655463,0.06437054,0.2999258,142.119,0.1487553,-1,2.877311,"ARM_N2010X",0.0389,0.05214,0.06075,0.06974,0.07907,0.0886,0.1004,0.1166,0.1435,0.2503
