isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,AGO,Angola,XX,N,1981,2000.21,X,73.83312,3.768034,170.9316,0.5279601,0.2520647,0.1579369,0.4454852,0.5195689,108.1199,0.5125765,-1,9.244507,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1984,2000.21,X,73.83312,3.768034,169.8243,0.5299392,0.2538577,0.1591641,0.4489223,0.5195689,107.4195,0.5125765,-1,10.277321,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1987,2000.21,X,73.83312,3.768034,172.46,0.5229275,0.249621,0.156268,0.4408086,0.5195689,109.0867,0.5125765,-1,11.218268,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1990,2000.21,X,73.83312,3.768034,162.944,0.5500785,0.2654998,0.1671475,0.4713029,0.5195689,103.0675,0.5125765,-1,12.171441,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1993,2000.21,X,73.83312,3.768034,106.9601,0.7287194,0.3973776,0.2649847,0.7420349,0.5195689,67.65576,0.5125765,-1,13.403734,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1996,2000.21,X,73.83312,3.768034,129.2098,0.6559955,0.3359779,0.2174803,0.6113768,0.5195689,81.72945,0.5125765,-1,14.682284,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,AGO,Angola,XX,N,1999,2000.21,X,73.83312,3.768034,136.4937,0.6324472,0.318604,0.2047353,0.5760554,0.5195689,86.33674,0.5125765,-1,15.949766,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
1,1,AGO,Angola,XX,N,2002,,X,73.83312,3.768034,136.1805,0.630907,0.3188726,0.2028646,0.5625169,-1,-1,-1,-1,17.572649,AGO_N2000X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,AGO,Angola,XX,N,2005,,X,73.83312,3.768034,131.0922,0.6418607,0.3167545,0.194406,0.531895,-1,-1,-1,-1,19.552542,AGO_N2000X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,AGO,Angola,XX,N,2008,,X,73.83312,3.768034,128.7009,0.6252188,0.2798545,0.1591063,0.4383458,-1,-1,-1,-1,21.75942,AGO_N2000X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,AGO,Angola,XX,N,2010,2008.5,X,73.83312,3.768034,120.5281,0.6444213,0.2915666,0.1660061,0.4561799,0.4271552,86.86079,0.3116315,-1,23.369131,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,AGO,Angola,XX,N,2011,2008.5,X,73.83312,3.768034,120.3387,0.6459446,0.2921223,0.1664013,0.4571946,0.4271552,86.72429,0.3116315,-1,24.218565,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,AGO,Angola,XX,N,2012,2008.5,X,73.83312,3.768034,126.0506,0.6195532,0.2758439,0.1549651,0.4277485,0.4271552,90.84069,0.3116315,-1,25.09615,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,AGO,Angola,XX,N,2013,2008.5,X,73.83312,3.768034,127.705,0.6141534,0.2713716,0.1518301,0.4197084,0.4271552,92.03295,0.3116315,-1,25.99834,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
